length_url,domain_length,directory_length,file_length,params_length,qty_slash_url,qty_dot_url,domain_in_ip,qty_at_url,asn_ip,time_domain_activation,time_domain_expiration,qty_hyphen_url,url_google_index,url_shortened,phishing
23,12,3,0,-1,3,2,0,0,-1,-1,78,1,0,0,0
31,24,-1,-1,-1,2,2,0,0,27647,5230,248,1,0,0,0
84,30,37,9,-1,7,2,0,0,398787,3125,162,2,1,0,1
29,17,4,0,-1,3,2,0,0,16509,5026,88,0,1,0,1
98,26,64,0,-1,9,2,1,0,-1,2300,257,2,1,0,1
15,8,-1,-1,-1,2,1,0,0,47381,2580,0,0,0,0,0
65,22,5,30,-1,4,2,0,0,15830,5825,3305,0,0,0,0
131,27,40,46,8,7,2,0,0,8075,8019,381,1,1,1,1
50,23,11,7,-1,4,2,0,0,16509,7839,197,1,0,0,0
51,32,11,0,-1,4,2,0,0,-1,2306,250,0,1,0,1
45,11,12,13,-1,5,3,0,0,16625,-1,0,0,0,0,0
159,14,41,9,86,8,2,1,0,53087,1500,325,0,1,0,1
44,22,13,0,-1,4,2,1,0,205544,2739,1278,1,1,0,1
103,19,3,0,71,4,3,0,1,-1,134,231,1,1,0,1
46,20,12,6,-1,5,4,0,0,12322,7802,517,0,1,0,1
45,16,5,15,-1,4,2,0,0,14907,7133,902,0,0,0,0
51,26,17,0,-1,5,3,0,0,-1,1690,137,0,1,0,1
38,19,3,8,-1,4,3,0,0,-1,1588,237,0,1,0,1
81,27,14,32,-1,5,2,1,0,16509,5767,77,0,1,0,1
112,31,4,69,-1,4,2,0,0,13335,7615,133,10,0,1,0
39,16,5,9,-1,4,2,0,0,15169,8348,2974,0,0,0,1
99,15,67,8,-1,7,2,0,0,15169,8348,2974,2,1,0,1
45,27,9,0,-1,3,2,0,0,396982,6989,315,1,1,0,0
60,35,11,6,-1,4,5,0,0,15169,5615,228,1,1,1,1
74,19,32,15,-1,10,3,0,0,16625,9327,1630,0,0,0,0
61,18,9,26,-1,4,3,0,0,47583,3561,92,3,0,0,0
40,32,-1,-1,-1,2,4,0,0,-1,5614,230,0,0,1,1
52,24,9,11,-1,4,3,0,0,-1,5408,148,0,1,0,1
88,24,23,9,-1,4,7,0,1,15169,8346,2976,1,1,1,1
74,12,11,15,27,4,2,0,0,16509,5877,3253,0,0,0,0
46,16,11,11,-1,4,2,0,0,20940,2633,288,1,1,0,0
54,17,14,15,-1,4,3,0,0,32475,6512,792,0,0,0,0
54,21,25,0,-1,6,1,0,0,-1,-1,0,1,1,0,1
38,16,5,8,-1,4,2,0,0,14907,7134,901,0,1,0,0
67,15,26,18,-1,5,2,0,0,54113,9394,102,3,0,0,0
62,13,34,7,-1,7,5,0,0,-1,5044,0,1,1,0,1
59,17,25,9,-1,6,3,0,0,-1,2573,1078,0,1,0,1
57,38,10,0,-1,3,4,0,0,14061,1246,944,0,1,0,1
32,12,12,0,-1,4,1,0,0,35278,2872,50,1,0,0,0
46,25,13,0,-1,5,2,0,0,-1,4537,212,0,1,0,1
37,16,5,7,-1,4,2,0,0,14907,7133,902,0,0,0,0
36,29,-1,-1,-1,2,2,0,0,-1,7295,374,0,1,1,1
52,18,17,9,-1,7,2,0,0,24940,973,123,0,1,0,1
32,24,0,0,-1,3,2,1,0,15169,7296,374,0,1,1,1
34,11,14,0,-1,3,1,0,0,13335,7491,179,0,0,0,0
27,19,0,0,-1,3,3,0,0,16276,-1,413,0,0,0,0
92,22,62,0,-1,8,2,1,0,-1,-1,0,1,1,0,1
102,12,82,0,-1,7,2,0,0,5607,8442,323,7,0,0,0
32,23,0,0,-1,3,2,0,0,15169,2277,2470,0,0,0,0
29,20,0,0,-1,3,2,0,0,15817,1800,27,0,0,0,0
119,24,49,10,27,9,4,0,0,203417,-1,1011,1,1,0,1
59,21,25,4,-1,6,2,0,0,17223,3952,65,0,0,0,0
54,19,27,0,-1,3,2,0,0,13335,4855,258,2,0,0,0
151,10,133,0,-1,3,3,1,1,-1,166,201,1,1,0,1
84,25,12,39,-1,5,3,0,0,13335,4093,654,5,0,0,0
55,10,28,9,-1,6,3,0,0,131353,-1,0,1,1,0,1
18,9,0,0,-1,3,1,0,0,140801,-1,0,0,0,0,0
39,16,14,0,-1,3,2,0,0,32934,8516,2808,0,0,0,0
28,19,0,0,-1,3,2,0,0,13335,7689,347,1,0,0,0
32,16,8,0,-1,3,3,0,0,22612,5913,295,1,0,0,0
16,9,-1,-1,-1,2,1,0,0,27589,-1,0,0,0,0,0
23,12,3,0,-1,4,1,0,0,16276,4141,241,0,1,0,1
29,21,0,0,-1,3,3,0,0,22612,4664,85,0,0,0,0
29,20,0,0,-1,3,2,0,0,-1,317,49,0,0,0,1
41,15,6,11,-1,4,2,0,0,16509,4566,2009,0,0,0,0
22,6,7,0,-1,3,1,0,0,396982,-1,0,0,1,1,1
52,14,18,12,-1,5,3,0,0,-1,657,438,0,1,0,1
38,20,10,0,-1,6,3,0,0,-1,-1,0,0,1,0,1
30,21,0,0,-1,3,3,0,0,16509,-1,0,0,0,0,0
76,50,3,15,-1,4,4,1,0,-1,3993,25,1,1,0,1
430,13,3,6,399,21,24,1,1,4213,-1,0,0,1,0,1
37,19,10,0,-1,3,2,0,0,13335,4823,291,0,1,1,0
73,23,42,0,-1,3,3,0,0,54113,11046,277,5,0,0,0
56,15,33,0,-1,5,2,0,0,16509,2939,347,0,1,0,1
70,13,9,39,-1,5,1,0,0,14378,3385,2825,7,1,0,0
70,20,24,18,-1,5,3,0,0,12322,7802,517,0,1,0,1
52,19,21,4,-1,5,2,0,0,16509,-1,120,1,1,0,0
31,22,0,0,-1,3,2,0,0,16276,5366,113,1,0,0,0
90,19,30,32,-1,6,4,1,0,-1,2112,79,0,1,1,1
45,15,15,7,-1,5,3,1,0,24940,7156,150,0,0,0,0
55,20,6,21,-1,4,3,0,0,19871,7602,1164,0,0,0,0
65,12,45,0,-1,6,3,0,0,-1,135,230,2,1,0,1
41,33,0,0,-1,3,2,0,0,5607,1546,644,1,1,0,1
71,25,14,11,11,4,2,1,0,-1,7,358,1,1,0,1
83,16,41,4,12,7,2,0,0,15169,8348,2973,0,1,0,1
73,18,47,0,-1,5,1,1,0,-1,-1,321,1,1,0,1
44,30,6,0,-1,3,2,0,0,-1,184,182,2,1,0,1
114,16,5,8,76,8,4,0,0,14618,2403,154,1,0,0,1
127,50,3,15,49,4,4,1,0,-1,3992,25,1,1,0,1
99,20,3,0,67,4,4,0,1,-1,254,112,0,0,0,1
56,20,28,0,-1,7,2,0,0,15685,6041,169,1,1,0,1
51,17,8,17,-1,4,3,0,0,13335,7284,1847,0,1,0,0
51,14,8,21,-1,4,5,0,0,53831,-1,0,0,1,0,1
40,24,7,0,-1,5,2,0,0,39218,-1,0,1,0,0,0
33,14,11,0,-1,6,3,0,0,37153,5111,0,0,1,0,1
88,20,59,0,-1,6,2,0,0,25773,8024,2202,5,0,0,0
122,18,13,82,-1,5,2,0,0,13335,5993,946,0,0,0,0
53,20,11,14,-1,4,3,0,0,19437,2684,237,0,0,0,0
46,37,0,0,-1,3,6,0,0,-1,725,0,1,1,0,1
36,29,-1,-1,-1,2,2,0,0,15169,7295,374,0,1,1,1
31,23,0,0,-1,3,2,0,0,31034,3754,264,0,0,0,0
48,16,23,0,-1,6,2,0,0,16509,5381,827,2,0,0,0
101,6,15,23,47,5,2,0,0,41828,3743,275,0,1,0,1
41,19,7,7,-1,4,3,0,0,54641,5416,62,0,0,0,0
43,35,0,0,-1,3,4,0,0,-1,1901,290,0,1,0,1
15,8,-1,-1,-1,2,1,0,0,29405,3937,81,0,0,0,0
42,10,24,0,-1,3,3,0,0,701,6668,1001,3,1,0,0
51,15,28,0,-1,4,1,0,0,46309,4413,3621,3,0,0,0
48,27,5,8,-1,4,3,0,0,54113,3983,361,3,1,0,1
49,19,22,0,-1,5,1,0,0,14061,7732,304,0,0,0,0
25,13,0,0,2,3,1,0,0,-1,2647,275,1,0,0,1
49,15,5,20,-1,5,2,0,0,16625,9285,59,2,0,1,0
48,25,15,0,-1,3,3,0,0,16509,8047,353,1,0,0,0
108,25,19,9,46,6,4,0,1,-1,531,200,1,1,0,1
39,20,2,10,-1,4,2,0,0,-1,1028,0,0,1,0,1
80,20,21,31,-1,5,4,0,0,13335,5334,145,3,1,0,0
36,17,11,0,-1,3,2,0,0,36444,7602,69,1,1,0,0
28,19,0,0,-1,3,2,0,0,59701,6460,161,1,0,0,0
33,14,10,0,-1,3,2,0,0,16509,1953,2430,0,1,0,1
23,14,0,0,-1,3,3,0,0,16509,-1,1156,0,0,1,0
77,18,9,41,-1,4,2,0,0,54113,5224,984,5,0,0,0
342,19,279,35,-1,5,5,1,1,13335,-1,0,6,1,0,1
38,29,0,0,-1,3,2,0,0,16509,189,177,1,1,0,1
73,22,8,35,-1,4,2,0,0,13335,6203,7,5,1,0,0
33,15,5,4,-1,4,2,0,0,15169,5639,204,0,0,0,0
67,17,29,13,-1,6,3,0,0,16509,1785,42,1,1,0,1
39,18,10,2,-1,4,2,0,0,16509,6431,873,0,1,0,0
24,15,0,0,-1,3,2,0,0,16509,2254,302,0,0,0,0
26,17,0,0,-1,3,2,0,0,21069,-1,0,0,0,0,0
39,7,13,10,-1,6,2,0,0,14618,9253,245,0,0,0,0
62,22,32,0,-1,3,3,1,0,-1,5825,18,1,1,0,1
41,13,7,13,-1,4,2,0,0,13335,1899,292,1,1,0,1
40,31,0,0,-1,3,2,0,0,15169,7295,374,0,1,1,1
51,26,17,0,-1,3,3,0,0,16509,4120,262,2,0,0,0
59,12,12,26,-1,5,2,0,0,13335,3650,366,3,1,1,0
50,20,9,12,-1,5,3,0,0,13335,8044,3483,0,0,0,0
52,25,19,0,-1,4,2,0,0,-1,6831,0,1,1,0,1
43,15,11,9,-1,4,2,0,0,55803,3904,114,1,1,0,1
94,42,8,36,-1,5,3,0,0,15169,4183,278,4,1,0,1
60,15,4,33,-1,4,4,0,0,13335,2403,519,0,0,0,0
18,11,-1,-1,-1,2,1,0,0,13335,-1,0,0,0,0,0
204,27,14,8,145,5,2,0,0,13335,7968,3353,1,0,1,1
94,24,32,10,-1,4,7,1,1,15169,8346,2975,0,0,1,1
41,33,0,0,-1,3,4,0,0,-1,-1,170,1,1,0,1
19,11,0,0,-1,3,2,0,0,-1,1154,307,0,1,0,1
35,22,5,0,-1,3,2,0,0,-1,3608,44,1,1,0,1
63,26,12,17,-1,6,3,0,0,16509,2870,51,0,1,0,1
53,21,18,6,-1,6,2,0,0,60087,5972,237,0,1,0,1
75,44,14,9,-1,6,4,0,0,-1,5616,228,3,1,1,1
35,27,-1,-1,-1,2,2,0,0,15169,6381,0,0,1,0,1
210,14,3,0,183,3,4,0,0,15169,8348,2974,1,0,0,1
44,13,22,0,-1,3,1,0,0,13335,4825,1384,2,0,0,0
150,40,8,0,93,4,5,1,0,-1,4405,343,0,1,0,1
39,22,2,7,-1,4,3,0,0,20857,570,161,1,1,0,1
64,15,41,0,-1,9,2,0,0,47583,3381,0,1,1,0,1
106,20,27,11,38,7,4,1,0,51159,4681,433,4,0,0,1
34,20,5,0,-1,4,2,0,0,8075,-1,0,0,0,0,1
65,16,5,35,-1,4,2,0,0,14907,7133,901,0,0,0,0
60,14,31,7,-1,8,3,0,0,48287,2290,266,1,1,0,1
25,14,3,0,-1,4,1,0,0,-1,896,200,0,1,0,1
39,21,5,5,-1,4,2,0,0,14618,6901,1865,0,0,0,0
38,15,6,9,-1,4,3,0,0,24940,3899,118,1,0,0,0
129,8,21,5,85,6,2,0,0,-1,-2,213,1,1,0,1
52,15,15,13,-1,5,2,0,0,20940,9224,342,2,0,0,0
30,14,8,0,-1,4,3,1,0,9905,-1,0,0,1,0,1
33,24,0,0,-1,3,2,0,0,2635,7449,586,0,0,0,0
118,27,16,67,-1,5,3,1,0,16509,7287,2184,6,0,0,0
27,20,-1,-1,-1,2,1,0,0,14061,2625,0,1,0,0,0
78,16,37,17,-1,9,3,0,0,14618,11192,495,0,0,0,0
35,27,0,0,-1,3,2,0,0,-1,2839,83,1,1,0,1
32,18,6,0,-1,4,1,0,0,47521,-1,0,1,1,0,1
64,39,11,6,-1,4,5,0,0,-1,5615,228,3,1,1,1
24,15,0,0,-1,3,3,0,0,56851,4996,1213,0,0,0,0
68,15,33,12,-1,5,3,0,0,24940,3526,127,0,0,0,0
126,50,19,0,47,5,4,1,0,-1,3993,25,1,1,0,1
41,16,5,11,-1,4,2,0,0,14907,7130,905,0,0,0,0
48,16,5,18,-1,4,2,0,0,14907,7134,901,0,0,0,0
29,21,0,0,-1,3,2,0,0,13335,3904,114,0,0,0,0
24,15,0,0,-1,3,2,0,0,16509,2980,2864,0,0,0,0
50,17,6,18,-1,4,3,0,0,5607,7427,1703,0,0,0,0
126,50,3,15,49,4,4,1,0,-1,3992,25,1,1,0,1
39,11,19,0,-1,6,2,0,0,396982,8627,263,0,0,0,0
102,15,47,32,-1,9,1,1,0,-1,2047,145,1,1,0,1
31,23,0,0,-1,3,2,0,0,16844,2425,496,0,0,0,0
86,22,33,0,22,4,3,1,0,-1,5826,18,1,1,0,1
78,16,53,0,-1,8,2,0,0,14618,6068,507,4,0,0,0
29,20,0,0,-1,3,3,0,0,51559,3477,0,0,0,0,0
33,12,5,0,7,3,2,1,0,16509,8965,1261,0,0,0,0
27,12,7,0,-1,4,1,0,0,-1,7,723,1,0,0,1
24,15,0,0,-1,3,2,0,0,13335,-1,0,0,0,0,0
39,20,10,0,-1,4,2,0,0,54113,6096,479,0,0,0,0
28,21,-1,-1,-1,2,2,0,0,13335,5903,1767,1,0,0,0
102,24,1,0,53,3,3,1,0,15169,5627,217,0,0,1,1
43,18,5,12,-1,4,2,0,0,13335,4153,229,0,1,0,0
27,19,0,0,-1,3,2,0,0,59674,4764,349,0,0,0,0
101,17,76,0,-1,7,2,0,0,2635,9744,117,9,0,0,0
60,28,24,0,-1,3,3,0,0,10929,3163,124,3,0,0,0
38,13,9,0,7,3,3,0,0,58224,-1,0,0,0,0,0
19,10,0,0,-1,3,1,0,0,-1,2088,834,0,1,0,1
137,15,10,103,-1,4,3,0,0,8972,4162,220,0,1,0,0
263,179,36,10,29,5,14,1,0,-1,-1,299,1,1,0,1
89,21,26,9,24,6,3,0,0,-1,918,178,0,1,0,1
28,19,0,0,-1,3,2,0,0,13335,5890,683,0,0,0,0
49,26,15,0,-1,3,3,0,0,16509,8046,353,0,0,0,0
45,36,0,0,-1,3,4,0,0,-1,5616,228,2,1,1,1
30,22,0,0,-1,3,2,0,0,-1,5442,36,0,0,0,1
54,10,19,17,-1,5,2,0,0,-1,3188,99,1,1,0,1
29,22,-1,-1,-1,2,2,0,0,-1,-1,0,0,0,0,0
86,16,25,14,22,6,3,0,1,55293,3977,406,1,1,0,1
26,18,0,0,-1,3,2,0,0,-1,1,364,0,1,0,1
83,20,12,42,-1,4,2,1,0,13335,4549,199,0,0,0,0
49,28,12,0,-1,3,2,0,0,-1,1,363,1,1,0,1
33,12,5,0,7,3,2,1,0,16509,8969,1257,0,0,0,0
40,18,7,7,-1,4,2,0,0,13335,9205,293,0,0,0,0
56,18,30,0,-1,5,2,0,0,13335,8697,1994,3,1,0,0
27,18,0,0,-1,3,2,0,0,13335,3873,145,0,0,0,0
70,33,29,0,-1,3,3,0,0,10929,4821,293,4,0,1,0
128,120,0,0,-1,3,10,0,0,-1,65,300,0,1,0,1
25,6,11,0,-1,3,1,0,0,14618,-1,0,0,1,0,1
33,16,8,0,-1,4,2,0,0,32934,8517,2807,0,0,0,0
52,16,6,21,-1,4,2,0,0,16509,3118,900,1,0,0,0
31,22,0,0,-1,3,2,0,0,16509,7318,351,0,0,0,0
41,32,0,0,-1,3,2,0,0,-1,7295,374,0,1,1,1
33,24,0,0,-1,3,2,0,0,16509,6022,187,0,0,0,0
32,23,0,0,-1,3,1,0,0,-1,1,363,1,1,0,1
66,30,8,13,6,5,3,0,0,14618,3346,307,1,0,0,0
85,14,62,0,-1,7,2,0,0,13335,5409,1165,7,0,0,0
52,20,5,18,-1,4,2,0,0,14907,7129,906,0,0,0,0
109,19,8,73,-1,4,3,0,0,13335,4300,448,8,0,0,0
84,20,56,0,-1,4,1,0,0,15169,2785,136,6,0,0,0
110,16,12,4,68,5,2,0,0,15169,8346,2976,1,0,0,1
171,25,62,9,66,7,2,1,0,32244,1095,730,1,1,0,1
17,9,0,0,-1,3,1,0,0,61969,-1,0,0,0,0,0
19,12,-1,-1,-1,2,1,0,0,39783,7557,0,0,0,0,0
98,14,70,6,-1,10,4,1,0,11172,-1,0,0,1,0,1
32,24,0,0,-1,3,2,0,0,16509,2581,340,0,1,0,1
28,20,-1,-1,-1,2,3,0,0,13335,-1,0,0,0,0,0
64,31,17,0,7,5,3,0,0,-1,7083,952,0,1,0,1
40,16,5,10,-1,4,2,0,0,14907,7133,902,0,0,0,0
132,32,45,46,-1,7,2,0,0,8075,8019,381,1,1,1,1
124,24,36,46,8,7,2,0,0,8075,8019,381,2,1,1,1
51,18,16,9,-1,6,2,0,0,-1,3747,270,0,1,0,1
141,48,84,0,-1,5,2,1,0,-1,-1,0,0,1,0,1
21,14,-1,-1,-1,2,2,0,0,38719,4924,189,0,0,0,0
53,14,31,0,-1,6,2,0,0,82,11205,116,0,1,0,0
27,18,0,0,-1,3,2,0,0,47583,-1,112,0,0,0,0
76,14,44,10,-1,6,2,1,0,-1,1379,446,0,1,0,1
79,32,39,0,-1,4,2,0,0,63949,4133,615,6,1,0,0
35,18,8,0,-1,5,2,0,0,12637,7169,135,0,0,0,0
56,21,26,0,-1,3,3,0,0,13335,6842,827,2,0,0,0
49,22,8,11,-1,5,3,0,0,20001,7705,1791,0,1,0,0
41,20,6,7,-1,4,2,0,0,14618,6769,900,0,0,0,0
84,20,24,32,-1,5,2,1,0,1221,-1,0,0,1,0,1
29,20,0,0,-1,3,2,0,0,13335,8309,91,0,0,0,0
21,12,0,0,-1,3,2,0,0,13335,-1,0,0,0,0,0
35,13,14,0,-1,3,3,0,0,8560,5572,271,0,0,0,0
28,19,0,0,-1,3,2,0,0,24940,-1,0,2,0,0,0
97,25,27,11,24,7,5,0,1,45671,-1,0,0,0,0,1
36,14,14,0,-1,4,1,0,0,-1,2744,543,0,0,1,1
63,19,14,21,-1,4,3,0,0,396982,8176,1685,2,1,0,0
24,17,-1,-1,-1,2,2,0,0,398101,3086,202,0,0,0,0
40,33,-1,-1,-1,2,2,0,0,-1,7295,374,0,1,1,1
85,17,49,11,-1,10,2,0,0,38532,4505,607,1,1,0,1
56,39,9,0,-1,3,5,0,0,-1,5627,217,2,1,1,1
49,11,21,9,-1,6,2,0,0,-1,393,338,0,1,0,1
23,10,4,0,-1,3,1,0,0,-1,-2,138,0,1,0,1
64,16,28,11,-1,7,2,0,0,-1,2232,324,1,1,0,1
46,20,17,0,-1,6,3,0,0,32244,205,525,1,1,0,1
36,9,10,9,-1,5,2,0,0,133800,1880,677,0,1,0,1
29,22,-1,-1,-1,2,2,0,0,13335,5904,1766,0,0,0,0
55,28,19,0,-1,4,2,0,0,-1,6831,0,1,1,0,1
45,25,12,0,-1,3,2,0,0,40676,6260,2505,0,0,0,0
33,25,0,0,-1,3,2,0,0,14618,-1,665,0,0,0,0
231,23,24,9,165,6,3,1,0,-1,-1,63,1,1,0,1
30,17,4,0,-1,3,2,0,0,-1,-1,0,0,1,0,1
31,23,0,0,-1,3,2,0,0,6943,6749,190,0,0,0,0
27,18,0,0,-1,3,2,0,0,30962,-1,251,1,0,0,0
58,16,33,0,-1,3,2,1,0,54113,7913,487,4,0,0,0
28,19,0,0,-1,3,2,0,0,15169,7296,373,0,0,1,0
25,16,0,0,-1,3,2,0,0,54113,2568,354,0,0,0,0
87,13,52,14,-1,7,5,0,0,-1,1302,159,0,1,0,1
28,19,0,0,-1,3,2,0,0,27647,5230,248,0,1,0,0
133,13,111,0,-1,8,2,0,0,16509,5956,252,12,1,0,0
26,17,0,0,-1,3,3,0,0,16509,-1,0,0,0,0,0
36,15,13,0,-1,6,1,0,0,16509,6478,1191,0,1,0,1
29,15,5,0,-1,3,1,0,0,13335,990,106,0,0,0,1
37,28,0,0,-1,3,2,0,0,-1,7295,374,1,1,1,1
33,24,0,0,-1,3,2,0,0,13335,4893,220,0,0,0,0
47,15,24,0,-1,3,2,0,0,54113,5886,1418,4,0,0,0
26,17,0,0,-1,3,2,0,0,13335,7753,3205,0,0,0,0
93,22,27,9,26,6,5,0,1,-1,4250,132,1,1,0,1
44,27,9,0,-1,4,4,0,0,36375,12706,0,0,0,0,0
34,26,0,0,-1,3,2,0,0,-1,7308,726,0,1,0,1
63,22,33,0,-1,4,2,0,0,14061,2190,732,5,0,0,0
56,36,11,0,-1,3,5,0,0,15169,5613,230,2,1,1,1
28,20,-1,-1,-1,2,2,0,0,15169,5614,230,0,1,1,1
51,21,22,0,-1,3,3,0,0,10929,4478,270,4,0,1,0
50,16,12,14,-1,4,3,0,0,-1,3141,147,0,1,0,1
70,17,34,11,-1,6,3,0,0,16509,7696,339,1,0,0,0
41,12,10,0,10,4,2,0,0,1836,-1,0,0,0,0,0
74,17,8,41,-1,4,2,1,0,13335,5615,3151,4,0,0,0
26,17,0,0,-1,3,2,0,0,16509,8018,17,0,0,0,0
114,19,43,43,-1,5,3,0,0,20473,4093,654,10,0,0,0
49,26,12,3,-1,4,1,0,0,16276,-1,0,1,1,0,1
26,17,0,0,-1,3,2,0,0,13335,-1,0,0,0,0,0
42,14,19,0,-1,5,2,0,0,54113,9897,694,1,0,0,0
28,19,0,0,-1,3,1,0,0,28824,1352,0,0,0,0,0
29,20,0,0,-1,3,2,0,0,14618,-1,0,0,0,0,0
32,15,9,0,-1,4,2,0,0,18447,-1,230,0,1,0,0
34,25,0,0,-1,3,2,0,0,54113,2706,215,1,1,0,1
51,27,6,0,9,4,2,0,0,-1,3934,84,1,1,0,1
43,29,6,0,-1,3,4,0,0,-1,3429,224,0,1,0,1
154,28,47,46,19,7,2,0,0,8075,8018,381,1,1,1,1
35,26,0,0,-1,3,3,0,0,13335,3345,308,0,0,0,0
54,22,24,0,-1,3,3,0,0,13335,-1,1964,1,0,0,0
35,27,0,0,-1,3,2,0,0,46261,3047,240,0,0,0,0
25,16,0,0,-1,3,1,0,0,16276,1549,0,0,0,0,0
27,19,0,0,-1,3,2,0,0,-1,1626,201,0,0,0,0
61,12,14,9,17,5,4,1,0,44869,-1,0,0,1,0,1
41,30,3,0,-1,3,2,0,0,24768,4748,0,0,1,0,1
47,13,17,9,-1,6,2,0,0,-1,-1,283,0,1,0,1
19,11,0,0,-1,3,2,0,0,24940,-1,0,0,0,0,0
38,18,11,0,-1,3,2,0,0,13335,5098,1476,1,0,0,0
64,19,8,29,-1,5,3,0,0,13335,3167,120,3,0,0,0
271,20,68,9,165,10,5,1,0,53824,4096,286,0,1,0,1
50,10,32,0,-1,7,1,0,0,16509,118,0,0,1,0,1
80,23,48,0,-1,5,3,1,0,13335,7785,616,6,0,1,0
67,28,25,5,-1,6,2,0,0,-1,219,146,0,1,0,1
282,30,45,14,183,7,3,1,0,8075,8018,382,1,1,1,1
144,37,43,46,8,7,2,0,0,8075,8018,382,2,1,1,1
52,20,20,4,-1,5,1,0,0,-1,1244,216,1,1,0,1
28,19,0,0,-1,3,2,0,0,36351,7555,116,0,0,0,0
50,20,9,12,-1,5,3,0,0,13335,8045,3482,0,0,0,0
60,19,13,5,14,5,3,0,0,-1,1408,53,1,1,0,0
87,18,15,45,-1,4,2,0,0,54113,5222,986,4,0,0,0
35,18,9,0,-1,3,3,0,0,-1,155,211,0,1,0,1
102,15,19,10,49,7,4,1,0,3786,4701,778,0,1,0,1
63,23,0,0,30,3,2,0,0,13335,7534,137,0,0,0,0
36,27,0,0,-1,3,2,0,0,54113,2837,84,1,1,0,1
21,12,0,0,-1,3,2,0,0,49604,7714,1417,0,0,0,0
238,17,5,0,206,3,3,1,0,8068,9338,158,8,0,0,1
36,13,15,0,-1,3,4,1,0,14992,-1,0,0,0,0,1
38,29,0,0,-1,3,2,0,0,27482,6636,1765,0,0,0,0
88,14,66,0,-1,7,5,1,0,14061,-1,0,2,1,0,1
29,21,0,0,-1,3,2,0,0,19557,7062,242,0,1,0,1
27,17,2,0,-1,3,2,0,0,-1,-1,226,0,1,0,1
101,15,67,10,-1,7,2,0,0,15169,8346,2976,1,1,0,1
18,11,-1,-1,-1,2,2,0,0,-1,-1,1656,0,0,0,0
27,15,4,0,-1,4,2,0,0,26347,7006,299,0,0,1,1
28,15,4,0,-1,3,2,0,0,15169,8349,2973,0,1,0,0
36,14,11,3,-1,4,1,0,0,-1,2357,200,1,0,0,1
53,14,5,26,-1,4,2,0,0,29066,7371,299,0,0,0,0
66,13,36,9,-1,7,3,1,0,28682,5589,2812,1,1,0,1
35,26,0,0,-1,3,2,0,0,15169,7295,374,0,1,1,1
27,13,5,0,-1,3,1,0,0,13335,968,127,0,1,0,1
